cd,var,label,value,share
1001,commute_more_60_min,More than 60 minutes of commuting each day,8825,0.0731515252
1001,commute_less_15_min,Less than 15 minutes of commuting each day,44430,0.368285809
1001,commute_30_44_min,Between 30 and 44 minutes of commuting each day,13290,0.1101624668
1001,commute_45_59_min,Between 45 and 59 minutes of commuting each day,3150,0.0261107427
1001,commute_15_29_min,Between 15 and 29 minutes of commuting each day,50945,0.4222894562
1002,commute_15_29_min,Between 15 and 29 minutes of commuting each day,1400,0.2157164869
1002,commute_more_60_min,More than 60 minutes of commuting each day,690,0.1063174114
1002,commute_45_59_min,Between 45 and 59 minutes of commuting each day,295,0.0454545455
1002,commute_30_44_min,Between 30 and 44 minutes of commuting each day,650,0.1001540832
1002,commute_less_15_min,Less than 15 minutes of commuting each day,3455,0.532357473
1003,commute_15_29_min,Between 15 and 29 minutes of commuting each day,865,0.1800208117
1003,commute_30_44_min,Between 30 and 44 minutes of commuting each day,305,0.0634755463
1003,commute_more_60_min,More than 60 minutes of commuting each day,370,0.0770031217
1003,commute_less_15_min,Less than 15 minutes of commuting each day,3125,0.650364204
1003,commute_45_59_min,Between 45 and 59 minutes of commuting each day,140,0.0291363163
1004,commute_15_29_min,Between 15 and 29 minutes of commuting each day,1375,0.231092437
1004,commute_more_60_min,More than 60 minutes of commuting each day,420,0.0705882353
1004,commute_30_44_min,Between 30 and 44 minutes of commuting each day,625,0.1050420168
1004,commute_45_59_min,Between 45 and 59 minutes of commuting each day,315,0.0529411765
1004,commute_less_15_min,Less than 15 minutes of commuting each day,3215,0.5403361345
1005,commute_45_59_min,Between 45 and 59 minutes of commuting each day,545,0.03368356
1005,commute_more_60_min,More than 60 minutes of commuting each day,780,0.0482076638
1005,commute_less_15_min,Less than 15 minutes of commuting each day,9000,0.5562422744
1005,commute_15_29_min,Between 15 and 29 minutes of commuting each day,4260,0.2632880099
1005,commute_30_44_min,Between 30 and 44 minutes of commuting each day,1595,0.098578492
1006,commute_more_60_min,More than 60 minutes of commuting each day,700,0.0484094053
1006,commute_30_44_min,Between 30 and 44 minutes of commuting each day,940,0.0650069156
1006,commute_15_29_min,Between 15 and 29 minutes of commuting each day,2320,0.1604426003
1006,commute_45_59_min,Between 45 and 59 minutes of commuting each day,290,0.020055325
1006,commute_less_15_min,Less than 15 minutes of commuting each day,10210,0.7060857538
1007,commute_15_29_min,Between 15 and 29 minutes of commuting each day,2105,0.1862007961
1007,commute_less_15_min,Less than 15 minutes of commuting each day,5845,0.5170278638
1007,commute_more_60_min,More than 60 minutes of commuting each day,1160,0.1026094648
1007,commute_45_59_min,Between 45 and 59 minutes of commuting each day,610,0.0539584255
1007,commute_30_44_min,Between 30 and 44 minutes of commuting each day,1585,0.1402034498
1008,commute_45_59_min,Between 45 and 59 minutes of commuting each day,730,0.0731096645
1008,commute_30_44_min,Between 30 and 44 minutes of commuting each day,1135,0.1136705058
1008,commute_less_15_min,Less than 15 minutes of commuting each day,4895,0.490235353
1008,commute_more_60_min,More than 60 minutes of commuting each day,1005,0.1006509765
1008,commute_15_29_min,Between 15 and 29 minutes of commuting each day,2220,0.2223335003
1009,commute_15_29_min,Between 15 and 29 minutes of commuting each day,755,0.1725714286
1009,commute_45_59_min,Between 45 and 59 minutes of commuting each day,150,0.0342857143
1009,commute_more_60_min,More than 60 minutes of commuting each day,365,0.0834285714
1009,commute_30_44_min,Between 30 and 44 minutes of commuting each day,380,0.0868571429
1009,commute_less_15_min,Less than 15 minutes of commuting each day,2725,0.6228571429
1010,commute_45_59_min,Between 45 and 59 minutes of commuting each day,255,0.0228597042
1010,commute_more_60_min,More than 60 minutes of commuting each day,515,0.0461676378
1010,commute_15_29_min,Between 15 and 29 minutes of commuting each day,2140,0.1918422232
1010,commute_30_44_min,Between 30 and 44 minutes of commuting each day,445,0.0398924249
1010,commute_less_15_min,Less than 15 minutes of commuting each day,7800,0.6992380099
1011,commute_more_60_min,More than 60 minutes of commuting each day,15,0.0198675497
1011,commute_45_59_min,Between 45 and 59 minutes of commuting each day,10,0.0132450331
1011,commute_less_15_min,Less than 15 minutes of commuting each day,665,0.880794702
1011,commute_15_29_min,Between 15 and 29 minutes of commuting each day,50,0.0662251656
1011,commute_30_44_min,Between 30 and 44 minutes of commuting each day,15,0.0198675497
1101,commute_45_59_min,Between 45 and 59 minutes of commuting each day,700,0.0962861073
1101,commute_30_44_min,Between 30 and 44 minutes of commuting each day,1275,0.1753782669
1101,commute_more_60_min,More than 60 minutes of commuting each day,440,0.060522696
1101,commute_15_29_min,Between 15 and 29 minutes of commuting each day,1960,0.2696011004
1101,commute_less_15_min,Less than 15 minutes of commuting each day,2895,0.3982118294
1102,commute_15_29_min,Between 15 and 29 minutes of commuting each day,14390,0.3890766527
1102,commute_less_15_min,Less than 15 minutes of commuting each day,16310,0.4409895904
1102,commute_30_44_min,Between 30 and 44 minutes of commuting each day,4255,0.1150466405
1102,commute_45_59_min,Between 45 and 59 minutes of commuting each day,1235,0.0333919156
1102,commute_more_60_min,More than 60 minutes of commuting each day,795,0.0214952008
1103,commute_15_29_min,Between 15 and 29 minutes of commuting each day,5455,0.2900053163
1103,commute_less_15_min,Less than 15 minutes of commuting each day,9910,0.5268474216
1103,commute_30_44_min,Between 30 and 44 minutes of commuting each day,1630,0.086656034
1103,commute_45_59_min,Between 45 and 59 minutes of commuting each day,955,0.0507708666
1103,commute_more_60_min,More than 60 minutes of commuting each day,860,0.0457203615
1201,commute_more_60_min,More than 60 minutes of commuting each day,295,0.049957663
1201,commute_30_44_min,Between 30 and 44 minutes of commuting each day,745,0.1261642676
1201,commute_45_59_min,Between 45 and 59 minutes of commuting each day,280,0.0474174428
1201,commute_less_15_min,Less than 15 minutes of commuting each day,2840,0.4809483489
1201,commute_15_29_min,Between 15 and 29 minutes of commuting each day,1745,0.2955122777
1202,commute_30_44_min,Between 30 and 44 minutes of commuting each day,1060,0.0990191499
1202,commute_45_59_min,Between 45 and 59 minutes of commuting each day,255,0.0238206446
1202,commute_15_29_min,Between 15 and 29 minutes of commuting each day,3590,0.3353573097
1202,commute_more_60_min,More than 60 minutes of commuting each day,310,0.0289584306
1202,commute_less_15_min,Less than 15 minutes of commuting each day,5490,0.5128444652
1203,commute_more_60_min,More than 60 minutes of commuting each day,305,0.0460377358
1203,commute_30_44_min,Between 30 and 44 minutes of commuting each day,880,0.1328301887
1203,commute_45_59_min,Between 45 and 59 minutes of commuting each day,385,0.0581132075
1203,commute_less_15_min,Less than 15 minutes of commuting each day,3020,0.4558490566
1203,commute_15_29_min,Between 15 and 29 minutes of commuting each day,2035,0.3071698113
1204,commute_more_60_min,More than 60 minutes of commuting each day,235,0.0677233429
1204,commute_less_15_min,Less than 15 minutes of commuting each day,1500,0.4322766571
1204,commute_45_59_min,Between 45 and 59 minutes of commuting each day,205,0.0590778098
1204,commute_30_44_min,Between 30 and 44 minutes of commuting each day,710,0.204610951
1204,commute_15_29_min,Between 15 and 29 minutes of commuting each day,820,0.2363112392
