cd,var,label,LMI_value,PS_value
1001,noc0,Management occupations,12895,116
1001,noc1,"Business, finance and administration occupations",20900,991
1001,noc2,Natural and applied sciences and related occupations,11630,898
1001,noc3,Health occupations,10705,8
1001,noc4,"Occupations in education, law and social, community and government services",17480,270
1001,noc5,"Occupations in art, culture, recreation and sport",3475,
1001,noc6,Sales and service occupations,31655,113
1001,noc7,"Trades, transport and equipment operators and related occupations",22495,353
1001,noc8,"Natural resources, agriculture and related production occupations",4000,6
1001,noc9,Occupations in manufacturing and utilities,4230,2
1002,noc0,Management occupations,505,1
1002,noc1,"Business, finance and administration occupations",760,19
1002,noc2,Natural and applied sciences and related occupations,340,15
1002,noc3,Health occupations,550,
1002,noc4,"Occupations in education, law and social, community and government services",1290,6
1002,noc5,"Occupations in art, culture, recreation and sport",75,
1002,noc6,Sales and service occupations,1670,
1002,noc7,"Trades, transport and equipment operators and related occupations",2395,11
1002,noc8,"Natural resources, agriculture and related production occupations",785,
1002,noc9,Occupations in manufacturing and utilities,500,
1003,noc0,Management occupations,375,
1003,noc1,"Business, finance and administration occupations",505,9
1003,noc2,Natural and applied sciences and related occupations,365,6
1003,noc3,Health occupations,335,1
1003,noc4,"Occupations in education, law and social, community and government services",955,
1003,noc5,"Occupations in art, culture, recreation and sport",60,
1003,noc6,Sales and service occupations,1615,
1003,noc7,"Trades, transport and equipment operators and related occupations",1560,1
1003,noc8,"Natural resources, agriculture and related production occupations",705,
1003,noc9,Occupations in manufacturing and utilities,480,
1004,noc0,Management occupations,545,1
1004,noc1,"Business, finance and administration occupations",780,10
1004,noc2,Natural and applied sciences and related occupations,250,10
1004,noc3,Health occupations,585,
1004,noc4,"Occupations in education, law and social, community and government services",1200,2
1004,noc5,"Occupations in art, culture, recreation and sport",95,
1004,noc6,Sales and service occupations,1860,
1004,noc7,"Trades, transport and equipment operators and related occupations",1660,4
1004,noc8,"Natural resources, agriculture and related production occupations",570,
1004,noc9,Occupations in manufacturing and utilities,255,
1005,noc0,Management occupations,1595,6
1005,noc1,"Business, finance and administration occupations",2400,39
1005,noc2,Natural and applied sciences and related occupations,1010,46
1005,noc3,Health occupations,2055,2
1005,noc4,"Occupations in education, law and social, community and government services",2590,13
1005,noc5,"Occupations in art, culture, recreation and sport",285,
1005,noc6,Sales and service occupations,4780,
1005,noc7,"Trades, transport and equipment operators and related occupations",3700,3
1005,noc8,"Natural resources, agriculture and related production occupations",615,
1005,noc9,Occupations in manufacturing and utilities,670,
1006,noc0,Management occupations,1500,5
1006,noc1,"Business, finance and administration occupations",2065,57
1006,noc2,Natural and applied sciences and related occupations,1050,38
1006,noc3,Health occupations,1725,
1006,noc4,"Occupations in education, law and social, community and government services",2640,19
1006,noc5,"Occupations in art, culture, recreation and sport",285,
1006,noc6,Sales and service occupations,4155,1
1006,noc7,"Trades, transport and equipment operators and related occupations",3170,5
1006,noc8,"Natural resources, agriculture and related production occupations",420,
1006,noc9,Occupations in manufacturing and utilities,360,3
1007,noc0,Management occupations,915,2
1007,noc1,"Business, finance and administration occupations",1415,10
1007,noc2,Natural and applied sciences and related occupations,625,10
1007,noc3,Health occupations,945,
1007,noc4,"Occupations in education, law and social, community and government services",1790,1
1007,noc5,"Occupations in art, culture, recreation and sport",160,
1007,noc6,Sales and service occupations,3065,
1007,noc7,"Trades, transport and equipment operators and related occupations",3935,7
1007,noc8,"Natural resources, agriculture and related production occupations",1165,
1007,noc9,Occupations in manufacturing and utilities,1250,
1008,noc0,Management occupations,890,2
1008,noc1,"Business, finance and administration occupations",1075,12
1008,noc2,Natural and applied sciences and related occupations,465,16
1008,noc3,Health occupations,830,
1008,noc4,"Occupations in education, law and social, community and government services",1755,
1008,noc5,"Occupations in art, culture, recreation and sport",120,
1008,noc6,Sales and service occupations,2830,
1008,noc7,"Trades, transport and equipment operators and related occupations",3905,2
1008,noc8,"Natural resources, agriculture and related production occupations",1845,
