cd,class_cat,count_tot,FOL_eng,FOL_fra,in,out
0,All,2216473,1508994,707479,163948,2052525
0,Administrative Support,502564,345238,157326,19259,483305
0,Administrative and Foreign Service,1133721,735892,397829,95236,1038485
0,Executive Group,28968,18627,10341,5334,23634
0,Operational,75541,53835,21706,3272,72269
0,Other,49960,40438,9522,4421,45539
0,Scientific and Professional,323635,236486,87149,29650,293985
0,Technical,102084,78478,23606,6776,95308
1001,Administrative Support,6569,6496,73,421,6148
1001,Administrative and Foreign Service,13974,13730,244,633,13341
1001,Executive Group,118,117,1,0,118
1001,Operational,1225,1215,10,20,1205
1001,Other,1652,1633,19,0,1652
1001,Scientific and Professional,3193,3097,96,318,2875
1001,Technical,3868,3827,41,203,3665
1002,Administrative Support,126,124,2,0,126
1002,Administrative and Foreign Service,139,136,3,0,139
1002,Operational,94,94,0,0,94
1002,Other,5,5,0,0,5
1002,Scientific and Professional,18,18,0,0,18
1002,Technical,50,50,0,0,50
1003,Administrative Support,77,74,3,10,67
1003,Administrative and Foreign Service,123,112,11,17,106
1003,Executive Group,2,2,0,0,2
1003,Operational,148,147,1,0,148
1003,Other,7,7,0,0,7
1003,Scientific and Professional,25,25,0,0,25
1003,Technical,81,78,3,1,80
1004,Administrative Support,118,118,0,0,118
1004,Administrative and Foreign Service,186,186,0,0,186
1004,Operational,55,55,0,0,55
1004,Other,1,1,0,0,1
1004,Scientific and Professional,49,49,0,0,49
1004,Technical,83,83,0,0,83
1005,Administrative Support,1014,989,25,2,1012
1005,Administrative and Foreign Service,1099,1074,25,4,1095
1005,Executive Group,6,6,0,0,6
1005,Operational,78,78,0,1,77
1005,Other,99,99,0,0,99
1005,Scientific and Professional,198,194,4,5,193
1005,Technical,263,262,1,0,263
1006,Administrative Support,442,438,4,64,378
1006,Administrative and Foreign Service,619,613,6,5,614
1006,Executive Group,1,1,0,0,1
1006,Operational,115,112,3,0,115
1006,Other,67,67,0,0,67
1006,Scientific and Professional,122,115,7,11,111
1006,Technical,196,194,2,0,196
1007,Administrative Support,229,223,6,1,228
1007,Administrative and Foreign Service,228,223,5,0,228
1007,Executive Group,3,3,0,0,3
1007,Operational,186,182,4,3,183
1007,Other,180,180,0,0,180
1007,Scientific and Professional,53,53,0,0,53
1007,Technical,182,178,4,0,182
1008,Administrative Support,155,155,0,0,155
1008,Administrative and Foreign Service,122,120,2,1,121
1008,Executive Group,2,2,0,0,2
1008,Operational,82,82,0,0,82
1008,Other,22,22,0,0,22
1008,Scientific and Professional,23,23,0,0,23
1008,Technical,118,115,3,1,117
1009,Administrative Support,80,80,0,0,80
1009,Administrative and Foreign Service,136,128,8,0,136
1009,Operational,227,222,5,0,227
1009,Other,63,63,0,0,63
1009,Scientific and Professional,15,15,0,0,15
1009,Technical,164,149,15,0,164
1010,Administrative Support,238,238,0,40,198
1010,Administrative and Foreign Service,496,467,29,17,479
1010,Executive Group,3,3,0,0,3
1010,Operational,89,89,0,0,89
1010,Other,27,26,1,0,27
1010,Scientific and Professional,88,85,3,0,88
1010,Technical,175,170,5,2,173
1011,Administrative Support,1,1,0,0,1
1011,Administrative and Foreign Service,13,12,1,0,13
1011,Scientific and Professional,15,15,0,0,15
1011,Technical,4,4,0,0,4
1100,Administrative Support,9,9,0,0,9
1100,Administrative and Foreign Service,24,14,10,0,24
1100,Operational,1,1,0,0,1
1100,Scientific and Professional,8,0,8,0,8
1100,Technical,4,1,3,0,4
1101,Administrative Support,711,701,10,0,711
1101,Administrative and Foreign Service,871,858,13,5,866
1101,Executive Group,3,3,0,0,3
1101,Operational,100,100,0,0,100
1101,Other,61,61,0,0,61
1101,Scientific and Professional,123,119,4,0,123
1101,Technical,87,86,1,0,87
1102,Administrative Support,6285,5991,294,326,5959
1102,Administrative and Foreign Service,9825,9090,735,1150,8675
1102,Executive Group,109,91,18,11,98
1102,Operational,404,396,8,3,401
1102,Other,494,453,41,0,494
1102,Scientific and Professional,1044,978,66,66,978
1102,Technical,813,782,31,21,792
1103,Administrative Support,1266,1172,94,104,1162
1103,Administrative and Foreign Service,1612,1442,170,3,1609
1103,Executive Group,7,6,1,0,7
1103,Operational,116,114,2,0,116
1103,Other,125,116,9,0,125
1103,Scientific and Professional,134,127,7,0,134
1103,Technical,187,173,14,0,187
1200,Administrative Support,3,3,0,0,3
1200,Administrative and Foreign Service,25,21,4,0,25
1200,Operational,1,0,1,0,1
1200,Other,6,6,0,0,6
1200,Scientific and Professional,29,17,12,0,29
1200,Technical,10,4,6,0,10
1201,Administrative Support,44,44,0,0,44
1201,Administrative and Foreign Service,68,68,0,0,68
1201,Executive Group,2,2,0,0,2
1201,Operational,21,21,0,0,21
1201,Other,2,2,0,0,2
1201,Scientific and Professional,11,11,0,0,11
1201,Technical,45,44,1,0,45
1202,Administrative Support,106,97,9,1,105
1202,Administrative and Foreign Service,168,147,21,1,167
1202,Executive Group,2,1,1,0,2
1202,Operational,28,28,0,0,28
1202,Other,18,18,0,0,18
1202,Scientific and Professional,35,35,0,0,35
1202,Technical,75,67,8,0,75
1203,Administrative Support,90,68,22,0,90
1203,Administrative and Foreign Service,137,105,32,0,137
1203,Executive Group,3,2,1,0,3
1203,Operational,44,40,4,0,44
1203,Other,14,8,6,0,14
1203,Scientific and Professional,20,18,2,0,20
1203,Technical,41,36,5,0,41
1204,Administrative Support,54,53,1,0,54
1204,Administrative and Foreign Service,84,81,3,0,84
1204,Operational,59,59,0,0,59
1204,Other,19,19,0,0,19
1204,Scientific and Professional,33,32,1,0,33
1204,Technical,15,15,0,0,15
1205,Administrative Support,288,260,28,9,279
1205,Administrative and Foreign Service,233,195,38,0,233
1205,Executive Group,1,1,0,0,1
1205,Operational,278,273,5,0,278
1205,Other,26,19,7,0,26
1205,Scientific and Professional,28,28,0,0,28
1205,Technical,59,59,0,0,59
1206,Administrative Support,167,155,12,17,150
1206,Administrative and Foreign Service,468,449,19,0,468
1206,Executive Group,6,6,0,0,6
1206,Operational,134,132,2,0,134
1206,Other,30,30,0,0,30
1206,Scientific and Professional,90,90,0,0,90
1206,Technical,171,168,3,0,171
1207,Administrative Support,933,843,90,0,933
1207,Administrative and Foreign Service,1189,1098,91,6,1183
