cd,noc0,noc1,noc2,noc3,noc4,noc6,noc7,noc8,noc9,noc5,English,French,avg_age
1001,116,991,898,8,270,113,353,6,2,,2722,35,45.59397953
1002,1,19,15,,6,,11,,,,50,2,47.06017127
1003,,9,6,1,,,1,,,,17,,45.2890625
1004,1,10,10,,2,,4,,,,27,,47.09114583
1005,6,39,46,2,13,,3,,,,106,3,47.25293865
1006,5,57,38,,19,1,5,,3,,126,2,47.42407227
1007,2,10,10,,1,,7,,,,30,,45.16731771
1008,2,12,16,,,,2,,,,32,,46.28759766
1009,1,13,16,,,,20,,,,50,,51.58742188
1010,2,58,13,3,20,1,11,,,1,107,2,47.74415854
1011,,2,,,,,,,,,2,,40.52929688
1101,,10,8,,1,,5,,,,23,1,45.06363932
1102,175,893,295,72,255,35,25,12,,6,1604,164,46.13966832
1103,3,40,24,,7,,5,,7,,75,11,44.17414608
1201,2,7,21,,1,,6,,,,35,2,46.08857686
1202,4,27,22,,13,,5,,,,58,13,48.64942782
1203,,7,18,,1,,6,,,,29,3,40.83483887
1204,1,2,5,,,,,,,,8,,50.64208984
1205,,5,,,,,,,,,5,,43.0921875
1206,1,41,7,,2,,,,,,51,,48.59872855
1207,9,111,126,10,10,62,48,17,18,1,397,15,51.97810793
1208,,10,,,1,,,,,,11,,53.29545455
1209,290,2075,1892,85,806,148,832,7,174,42,6032,319,47.26487266
1210,6,38,12,24,138,8,21,,,,241,6,45.02938386
1211,30,88,23,16,320,24,15,6,2,,496,28,45.27149183
1212,1,34,7,,,,,,,,41,1,46.21047247
1213,1,5,8,,,,4,,,,18,,43.40885417
1214,5,15,4,,3,,,,,,26,1,46.02228009
1215,,13,16,,,,13,,,,34,8,48.80877976
1216,,2,,,,,,,,,1,1,48.8828125
1217,38,475,93,3,82,16,15,,2,2,667,59,48.86877475
1218,,2,2,,,,,,,,4,,50.21289063
1301,12,130,45,3,81,10,15,,,,247,49,44.11658045
1302,16,41,78,,91,,6,,4,1,226,11,44.47265625
1303,6,259,118,31,47,68,292,10,51,16,819,79,50.08272802
1304,1,9,24,1,14,,,,,1,40,10,38.46046875
1305,,10,,,,,,,,,9,1,52.97734375
1306,,4,,,,,,,,,2,2,43.26367188
1307,220,1873,549,71,600,36,33,1,2,28,1266,2147,44.03000133
1308,2,12,8,1,1,,,,,,8,16,49.01497396
1309,27,1180,29,16,275,15,8,1,3,,1138,416,43.59683176
1310,51,436,153,4,109,,24,22,4,8,557,254,44.54762157
1311,11,17,,,62,,,,,,81,9,42.91271701
1312,5,18,1,1,30,,,,,,27,28,43.64865057
1313,9,14,2,,47,,,,,,7,65,43.10807292
1314,1,23,3,2,36,,,,,,20,45,44.2859375
1315,15,481,38,,45,,3,,,,249,333,44.81498335
2401,1,17,12,,2,,4,,,,3,33,45.21365017
2402,1,4,8,,,,,,,,,13,47.8734976
2403,5,21,15,,7,1,8,,,,3,54,48.28858279
2404,,3,6,,,,,,,,,9,43.19314236
2405,,5,1,,,,,,,,,6,44.54166667
2407,,2,,,,,,,,,,2,45.83984375
2408,5,317,16,,,,,,,,6,332,45.40811067
2409,9,33,295,,6,5,9,,,,15,342,45.51060268
2410,2,35,22,,15,,,,,,3,71,44.28388936
2412,,8,,,,,7,,,2,1,16,46.84535846
2413,,,,,2,,,,,,,2,49.01953125
2414,,2,,,,,,,,,1,1,41.83984375
2415,,4,,,,,,,,,,4,49.75390625
2417,,,,,2,,,,,,,2,53.08203125
2418,,,,,2,,,,,,,2,33.23242188
2421,,5,,,1,,2,,,,1,7,52.21875
2422,16,309,375,72,80,36,146,7,47,14,38,1064,48.2441548
2423,154,1150,860,7,365,46,196,4,7,74,102,2761,44.73485254
2425,,14,1,,,,,,,,,15,47.06223958
2428,,,,,2,,,,,,,2,41.390625
2429,5,11,,,21,,,,,,,37,44.25506757
2430,2,5,,,14,,,,,,2,19,37.28552827
2431,1,62,1,,1,,,,,,3,62,41.20817308
2434,8,31,4,11,304,17,9,1,1,,,386,42.23558938
2436,5,361,10,,19,,,,,,4,391,41.79127769
2437,4,40,9,,19,,7,,,,3,76,44.94931764
2439,,7,,,,,,,,,,7,50.87388393
2440,,2,,,,,,,,,,2,53.30859375
2441,,,,,5,,,,,,1,4,52.61875
2443,9,85,130,,34,1,5,41,,,16,289,46.2609375
2444,4,11,,,42,,,,,,11,46,44.65213816
2445,10,15,,,56,,,,,,8,73,43.09548611
2446,20,48,4,14,336,16,16,5,3,,36,426,42.88993168
2447,,7,,,7,,,,,,,14,40.22712054
2449,10,61,6,11,195,15,7,1,2,,7,301,44.20240209
2450,,,2,,,,1,,,,,3,54.57552083
2451,,1,,,3,,,,,,,4,43.84179688
2453,,2,10,,4,,16,,,,1,31,43.75341797
2454,5,27,89,7,7,1,5,,2,2,10,135,49.46540948
2456,37,276,142,25,179,61,69,12,14,23,82,756,47.95078498
2458,50,735,459,1,61,1,1,,2,10,220,1100,44.82543797
2459,6,8,112,,5,,,,,1,43,89,42.55066288
2460,1,8,,,,,,,,,,9,45.93229167
2461,7,22,4,24,113,10,,,1,,3,178,44.69149258
2464,1,14,,,,,,,,,,15,46.65416667
2465,64,523,67,43,418,41,29,2,1,2,122,1068,46.12519695
2466,477,3742,1423,52,1533,35,217,,8,148,1270,6365,44.67316651
2467,,3,,,1,,,,,,1,3,46.86132813
2468,12,26,,,147,,1,2,,,47,141,40.73425033
2469,3,2,,,33,,,,,,18,20,44.3670847
2470,,8,,,,,,,,,1,7,49.29394531
2471,18,43,6,,68,3,13,,,,59,92,44.86297082
2472,,2,,,,,,4,,,,6,41.31901042
2473,32,96,14,69,596,53,16,4,6,,22,864,44.59494039
2474,2,2,,1,15,,,,,,1,19,46.62734375
2475,3,38,,,15,,,,,,3,53,46.48577009
2478,,4,,,,,,,,,1,3,49.77734375
2479,7,30,3,10,158,12,8,1,4,,5,228,44.1867791
2481,3532,12945,4870,15,6691,190,28,1,16,894,14019,15163,43.91716817
2483,,2,,3,,,,,,,3,2,43.065625
2484,,2,,,,,,,,,1,1,55.13671875
2485,,2,,4,,,,,,,2,4,47.92838542
2486,1,17,2,,5,,,,,,1,24,45.82640625
2487,,3,,,,,,,,,,3,34.234375
2488,,2,,,,,,,,,,2,32.7578125
2489,2,10,5,,5,,,,,,,22,49.3618608
2490,,2,,,,,,,,,,2,53.7734375
2491,,3,,,,,,,,,,3,42.38020833
2492,,2,6,,,,1,6,,,1,14,50.70625
2493,1,10,2,,7,,,,,,,20,48.44121094
2494,3,221,45,8,26,32,47,,12,,6,388,45.08597716
2495,,4,20,,,,2,,,,1,25,39.94426082
2496,,5,8,,3,,,,,,1,15,44.80224609
2497,10,80,24,10,218,20,13,,1,,8,368,40.26672623
2498,1,,7,,,,4,,,,1,11,41.79817708
2499,,4,,,,,,,,,2,2,53.40625
3501,8,260,15,,12,,,,,,213,82,42.64694121
3502,,4,,,,,,,,,,4,51.30273438
3506,6955,23980,13344,399,17255,247,251,58,151,955,43289,20305,44.18186883
3507,,15,48,,11,4,25,,,,91,12,44.30783525
3509,,8,,,,,,,,,7,1,45.52539063
3510,98,788,267,143,1124,281,174,12,24,23,2661,273,48.89287845
3511,19,57,10,36,532,55,11,2,2,1,705,20,46.58371767
3512,12,331,157,20,46,48,134,5,12,18,743,40,49.74715637
3513,,3,,,,,,,,,3,,35.5546875
3514,15,46,18,18,279,20,12,,1,,406,3,46.86049244
3515,2,24,18,4,15,,,,,,60,3,45.36793155
3516,,3,,,,,,,,,3,,41.85416667
3518,5,63,3,,8,,,,,,74,5,46.24569818
